-100000 	-770000 	0 	TC Mid
-100000 	-900000 	0 	TC Shelf
-20000 		-1030000 	0 	TC High

20000		-1450000	0 	TC Central 
20000		-1600000	0 	TC High

-480000		-690000		40	TC	Siple Coast

280000		-640000		-35	TC	Transantarctic Mnts
